,,OPEX,,,,,,,,,,,,,CAPEX,,,,,,,,,,,,,,,,,,,
,Mapping CashFlow,DEPARTEMENT / DIRECTION,ACTIVITES,SOUS ACTVITES,TACHES,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE,COST CODE,DESCRIPTION CC,COST CODE HORS CODE TACHE,COST CODE HORS CODE TACHE DESCRIPTION,,DEPARTEMENT / DIRECTION,ACTIVITES,SOUS ACTVITES,TACHES,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE,COST CODE,DESCRIPTION CC,Rang,,GL,GL Description,,Combinaison Possible,,Activite & Departement,,
,Dépenses de personnel,ETUDES,Renumeration,Renumeration,Renumeration,ET,0,0,01,ET.0.0.01,ETUDES _ Renumeration _ Renumeration _ Renumeration,ET00,ETUDES  _  Renumeration _  Renumeration,,ETUDES,Immobilisation,Immobilisation,Immobilisation,ET,A0,S00,IM0,ETA0S00IM0,IMMO_ETUDES,3,,21200002,21200002_ Logiciels et applications informatiques,,#REF!,,ETUDES0,,ETUDES
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation,ET,1,1,01,ET.1.1.01,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,ACCES A LA JUSTICE,Immobilisation,Immobilisation,Immobilisation,AJ,A0,S00,IM0,AJA0S00IM0,IMMO_ACCES A LA JUSTICE,4,,22100002,22100002_ Terrains,,,,ETUDES1,,ETUDES ECO SYSTEME
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",2. Deploiement des enqueteurs sur terrain,ET,1,1,02,ET.1.1.02,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 2. Deploiement des enqueteurs sur terrain",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,REPARATION,Immobilisation,Immobilisation,Immobilisation,RE,A0,S00,IM0,REA0S00IM0,IMMO_REPARATION,5,,22200001,22200001_ Constructions administratives,,,,ETUDES1,,ACCES A LA JUSTICE
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",3.Certification par la communauté à travers les focus group,ET,1,1,03,ET.1.1.03,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 3.Certification par la communauté à travers les focus group",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,COMMUNICATION,Immobilisation,Immobilisation,Immobilisation,CO,A0,S00,IM0,COA0S00IM0,IMMO_COMMUNICATION,6,,22200002,"22200002_ Constructions sociales (écoles, hôpitaux, etc.)",,,,ETUDES1,,REPARATION
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",4. Mission de supervision par les agents du FONAREV,ET,1,1,04,ET.1.1.04,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 4. Mission de supervision par les agents du FONAREV",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,DIRECTION GÉNÉRALE,Immobilisation,Immobilisation,Immobilisation,DG,A0,S00,IM0,DGA0S00IM0,IMMO_DIRECTION GÉNÉRALE,7,,22200003,22200003_ Constructions mémorielles et monuments,,,,ETUDES1,,COMMUNICATION
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",5. Rédaction du répertoire des violations par des experts (Honoraires),ET,1,1,05,ET.1.1.05,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 5. Rédaction du répertoire des violations par des experts (Honoraires)",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,CONSEIL D'ADMINISTRATION,Immobilisation,Immobilisation,Immobilisation,CA,A0,S00,IM0,CAA0S00IM0,IMMO_CONSEIL D'ADMINISTRATION,8,,22300001,"22300001_ Installations techniques, matériel et outillage",,,,ETUDES1,,DIRECTION GÉNÉRALE
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",6. Qualification par les Experts,ET,1,1,06,ET.1.1.06,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 6. Qualification par les Experts",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,DIRECTION FINANCIÈRE,Immobilisation,Immobilisation,Immobilisation,FI,A0,S00,IM0,FIA0S00IM0,IMMO_DIRECTION FINANCIÈRE,9,,22400001,22400001_ Matériel de transport,,,,ETUDES1,,CONSEIL D'ADMINISTRATION
,Dépenses opérationnelles,ETUDES,Cartographie des violations,"Documentation, certification et qualification des violations et incidents",7. Publication (N-1),ET,1,1,07,ET.1.1.07,"ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 7. Publication (N-1)",ET11,"ETUDES  _  Cartographie des violations _  Documentation, certification et qualification des violations et incidents",,AUDIT INTERNE ,Immobilisation,Immobilisation,Immobilisation,AU,A0,S00,IM0,AUA0S00IM0,IMMO_AUDIT INTERNE ,10,,22500001,22500001_ Mobilier et matériel de bureau,,,,ETUDES1,,DIRECTION FINANCIÈRE
