Annee,,,,,,,,#VALUE!,#VALUE!,1899,#VALUE!,#VALUE!,2026,2026,2026,2026,2026,2026,2026,,,2027,2028,2029,2030,,,,,,,,,,,,,
Mois,,,,,,,,#VALUE!,#VALUE!,12,#VALUE!,#VALUE!,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,
Trimestre,,,,,,,,0,0,0,0,0,1,1,1,2,2,2,3,,,,,,,,,,,,,,,,,,,
Semestre,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACCES A LA JUSTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
AJ.0.0.01,ACCES A LA JUSTICE _ Renumeration _ Renumeration _ Renumeration,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AJ,0,0,01
AJ.1.1.01,"ACCES A LA JUSTICE _ Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _ Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.) _ Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.)",,,,,,,,,,,,0,62 270,64 200,112 290,127 670,89 100,0,0,63 470,0,63 470,0,582 470,582 470,588 295,594 119,599 944,605 769,,,,,AJ,1,1,01
AJ.1.2.01,"ACCES A LA JUSTICE _ Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _ Organisation des formations des  formations des Officiers de Police Judiciaire (OPJ) _ Organisation des formations des Officiers de Police Judiciaire (OPJ)
",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AJ,1,2,01
AJ.1.3.01,ACCES A LA JUSTICE _ Accès au droit - renforcement des capacites des acteurs de la chaine pénale et ecosystème _ Organisation des formations de l ecosysteme _ Formation des agents d’appui,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AJ,1,3,01
