Annee,,,,,,,,#VALUE!,#VALUE!,1899,#VALUE!,#VALUE!,2026,2026,2026,2026,2026,2026,2026,,,2027,2028,2029,2030,,,,,,,,,,,,,
Mois,,,,,,,,#VALUE!,#VALUE!,12,#VALUE!,#VALUE!,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,
Trimestre,,,,,,,,0,0,0,0,0,1,1,1,2,2,2,3,,,,,,,,,,,,,,,,,,,
Semestre,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JURIDIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
RJ.0.0.01,JURIDIQUE _ Renumeration _ Renumeration _ Renumeration,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RJ,0,0,01
RJ.1.1.01,JURIDIQUE _ Assurer la veille juridique et réglementaire _ Abonnement à des sources d'information _ Abonnement au Journal Officiel/Annuel,,,,,,,,,,,,417,0,0,0,0,0,0,0,0,0,0,0,417,417,421,425,430,434,,,,,RJ,1,1,01
RJ.1.1.02,JURIDIQUE _ Assurer la veille juridique et réglementaire _ Abonnement à des sources d'information _ Abonnement à LexisNexis,,,,,,,,,,,,80,80,80,80,80,80,80,80,80,80,80,80,960,960,970,979,989,998,,,,,RJ,1,1,02
RJ.1.1.03,JURIDIQUE _ Assurer la veille juridique et réglementaire _ Abonnement à des sources d'information _ Abonnement à LegaNews Pro,,,,,,,,,,,,56,56,56,56,56,56,56,56,56,56,56,56,672,672,679,685,692,699,,,,,RJ,1,1,03
RJ.1.2.01,JURIDIQUE _ Assurer la veille juridique et réglementaire _ Achats Livres _ Achats différents livres,,,,,,,,,,,,275,275,275,275,275,275,275,275,275,275,275,275,3 300,3 300,3 333,3 366,3 399,3 432,,,,,RJ,1,2,01
RJ.2.1.01,JURIDIQUE _ Gestion des contrats _ Contrats _ Renouvellement des contrats,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,RJ,2,1,01
