mysql> select * from budget_tache;
+-----+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+------------+-------------+---------------+
| id  | sous_activity_id | name                                                                                                                                                                                                                                                                                                                 | code | cost_code  | activity_id | department_id |
+-----+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+------------+-------------+---------------+
|   1 |                1 | Renumeration                                                                                                                                                                                                                                                                                                         | NULL | ME.0.0.01  |           1 |             2 |
|   2 |                2 | 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation                                                                                                                                                                                                                                     | NULL | ET.1.1.01  |           2 |             2 |
|   3 |                2 | 2. Deploiement des enqueteurs sur terrain                                                                                                                                                                                                                                                                            | NULL | ET.1.1.02  |           2 |             2 |
|   4 |                2 | 3.Certification par la communauté à travers les focus group                                                                                                                                                                                                                                                          | NULL | ET.1.1.03  |           2 |             2 |
|   5 |                2 | 4. Mission de supervision par les agents du FONAREV                                                                                                                                                                                                                                                                  | NULL | ET.1.1.04  |           2 |             2 |
|   6 |                2 | 5. Rédaction du répertoire des violations par des experts (Honoraires)                                                                                                                                                                                                                                               | NULL | ET.1.1.05  |           2 |             2 |
|   7 |                2 | 6. Qualification par les Experts                                                                                                                                                                                                                                                                                     | NULL | ET.1.1.06  |           2 |             2 |
|   8 |                2 | 7. Publication (N-1)                                                                                                                                                                                                                                                                                                 | NULL | ET.1.1.07  |           2 |             2 |
|   9 |                2 | 8 Recrutement d'un cabinet de lobbyng chargé d'introduire et faire accepter le Repertoire du FONAREV dans les institutions internationales et gouvernements étrangers                                                                                                                                                | NULL | ET.1.1.08  |           2 |             2 |
|  10 |                2 | Amelioration et enrichissement du centre de documentation du musée du GENOCOST via des reliques de l'Est                                                                                                                                                                                                             | NULL | ET.1.1.09  |           2 |             2 |
|  11 |                2 | Constitution d'une banque des données des disparues (appel aux familles)                                                                                                                                                                                                                                             | NULL | ET.1.1.10  |           2 |             2 |
|  12 |                3 | 1.Acquisition des detecteurs des ossements enfui sous terre                                                                                                                                                                                                                                                          | NULL | ET.1.2.01  |           2 |             2 |
|  13 |                3 | 2. Formation  des enqueteurs aux chefs lieux des provinces pour le mapping                                                                                                                                                                                                                                           | NULL | ET.1.2.02  |           2 |             2 |
|  14 |                3 | 2. Deploiement des enqueteurs sur terrain                                                                                                                                                                                                                                                                            | NULL | ET.1.2.03  |           2 |             2 |
|  15 |                3 | 3.Certification par la communauté à travers les focus group                                                                                                                                                                                                                                                          | NULL | ET.1.2.04  |           2 |             2 |
|  16 |                3 | 4. Mission de supervision par les agents du FONAREV                                                                                                                                                                                                                                                                  | NULL | ET.1.2.05  |           2 |             2 |
|  17 |                3 | 5. Production de la carte thématique par un Expert                                                                                                                                                                                                                                                                   | NULL | ET.1.2.06  |           2 |             2 |
|  18 |                4 | 1. Recrutement et formation des  29 ONG de monitoring au chef-lieu de chaque province                                                                                                                                                                                                                                | NULL | ET.1.3.01  |           2 |             2 |
|  19 |                4 | 2. Monitoring par les ONG (Honoraire/mois)                                                                                                                                                                                                                                                                           | NULL | ET.1.3.02  |           2 |             2 |
|  20 |                4 | 1. Levée documentaire                                                                                                                                                                                                                                                                                                | NULL | ET.1.3.03  |           2 |             2 |
|  21 |                4 | 2. Analyse de l'intention génocidaire dans les faits                                                                                                                                                                                                                                                                 | NULL | ET.1.3.04  |           2 |             2 |
|  22 |                4 | 3. Enquête complémentaire au Nord-Kivu avec les enquêteurs locaux (méthode GRID pour les zones occupées)                                                                                                                                                                                                             | NULL | ET.1.3.05  |           2 |             2 |
|  23 |                4 | 4. Finalisation et reporting                                                                                                                                                                                                                                                                                         | NULL | ET.1.3.06  |           2 |             2 |
|  24 |                5 | 1.recrutement des détectives et remuneration                                                                                                                                                                                                                                                                         | NULL | ET.1.4.01  |           2 |             2 |
|  25 |                5 | 2. Authentification des élements matériels par des experts INMC                                                                                                                                                                                                                                                      | NULL | ET.1.4.02  |           2 |             2 |
|  26 |                5 | 3. Etude sur les causes profondes des conflits armés et non armés en RDC                                                                                                                                                                                                                                             | NULL | ET.1.4.03  |           2 |             2 |
|  27 |                6 | 1. Prise de contact avec les MINAFET                                                                                                                                                                                                                                                                                 | NULL | ET.1.5.01  |           2 |             2 |
|  28 |                6 | 2. Réunion de cadrage avec les représentations diplomatiques et Séances de travail  avec les services de documentation des départements des Affaires étrangères des pays concernés                                                                                                                                   | NULL | ET.1.5.02  |           2 |             2 |
|  29 |                7 | 1. Sensibilisation des étudiants de 10 établissements de la RDC                                                                                                                                                                                                                                                      | NULL | ET.1.6.01  |           2 |             2 |
|  30 |                7 | 2.Mise en place du secretariat technique                                                                                                                                                                                                                                                                             | NULL | ET.1.6.02  |           2 |             2 |
|  31 |                7 | 3. Subvention de recherches scientifiques                                                                                                                                                                                                                                                                            | NULL | ET.1.6.03  |           2 |             2 |
|  32 |                7 | 4. Publication scientifique par le secretariat technique                                                                                                                                                                                                                                                             | NULL | ET.1.6.04  |           2 |             2 |
|  33 |                8 | Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice                                                                                                                                                                                                        | NULL | ET.2.1.01  |           3 |             2 |
|  34 |                9 | 1.Mission exploratoire technique, logistique, financier et sécuritaire                                                                                                                                                                                                                                               | NULL | ET.2.2.01  |           3 |             2 |
|  35 |                9 | 2. Recrutement et test des 200 agents d'identification par province pour quatre mois de travail                                                                                                                                                                                                                      | NULL | ET.2.2.02  |           3 |             2 |
|  36 |                9 | 3. Installation des CIV par province (Mois)                                                                                                                                                                                                                                                                          | NULL | ET.2.2.03  |           3 |             2 |
|  37 |                9 | 4. Formation des agents d'identification au chef-lieu des provinces                                                                                                                                                                                                                                                  | NULL | ET.2.2.04  |           3 |             2 |
|  38 |                9 | 5. Enregistrement des récits sur le terrain par les enquêteurs locaux                                                                                                                                                                                                                                                | NULL | ET.2.2.05  |           3 |             2 |
|  39 |                9 | 6. Mission de supervision des activités d'identification par les agents du FONAREV                                                                                                                                                                                                                                   | NULL | ET.2.2.06  |           3 |             2 |
|  40 |                9 | 7. Traitement des données                                                                                                                                                                                                                                                                                            | NULL | ET.2.2.07  |           3 |             2 |
|  41 |                9 | Organisation EPI/ Test de cohérence des données (matching avec les incidents) via l'IA (abonnement)                                                                                                                                                                                                                  | NULL | ET.2.2.08  |           3 |             2 |
|  42 |                9 | Organisation EPI/ Formation des enquêteurs locaux (125 par province)                                                                                                                                                                                                                                                 | NULL | ET.2.2.09  |           3 |             2 |
|  43 |                9 | Organisation EPI/ Deploiement et supervision                                                                                                                                                                                                                                                                         | NULL | ET.2.2.10  |           3 |             2 |
|  44 |                9 | Organisation EPI/ Enquete de couverture                                                                                                                                                                                                                                                                              | NULL | ET.2.2.11  |           3 |             2 |
|  45 |                9 | Travaux de certification de la LUC/ Validation interne de la LUC par un comité ad hoc                                                                                                                                                                                                                                | NULL | ET.2.2.12  |           3 |             2 |
|  46 |                9 | Travaux de certification de la LUC/ Cadrage méthodologique avec les TGI                                                                                                                                                                                                                                              | NULL | ET.2.2.13  |           3 |             2 |
|  47 |                9 | Travaux de certification de la LUC/  Travaux intensifis du comité d'authentification                                                                                                                                                                                                                                 | NULL | ET.2.2.14  |           3 |             2 |
|  48 |                9 | Travaux de certification de la LUC/  Travaux intensifs du comité d'homologation                                                                                                                                                                                                                                      | NULL | ET.2.2.15  |           3 |             2 |
|  49 |                9 | Travaux de certification de la LUC/  Reprographie des cartes et notification par des CDD                                                                                                                                                                                                                             | NULL | ET.2.2.16  |           3 |             2 |
|  50 |               10 | 1. Paiement des honoraires des agents d'identification                                                                                                                                                                                                                                                               | NULL | ET.2.3.01  |           3 |             2 |
|  51 |               10 | 2.Mission Supervision du processus par les agents du FONAREV                                                                                                                                                                                                                                                         | NULL | ET.2.3.02  |           3 |             2 |
|  52 |               11 | 1. Mission exploratoire dans les camps des provinces concernées                                                                                                                                                                                                                                                      | NULL | ET.2.4.01  |           3 |             2 |
|  53 |               11 | 2. Formation des 400 agents d'identification                                                                                                                                                                                                                                                                         | NULL | ET.2.4.02  |           3 |             2 |
|  54 |               11 | 3. Location et installation des 80 tentes faisant office des CIV                                                                                                                                                                                                                                                     | NULL | ET.2.4.03  |           3 |             2 |
|  55 |               11 | 4.Mise en place es mesures securitaires dans les camps                                                                                                                                                                                                                                                               | NULL | ET.2.4.04  |           3 |             2 |
|  56 |               11 | 5. Deploiement des equipes dans les camps                                                                                                                                                                                                                                                                            | NULL | ET.2.4.05  |           3 |             2 |
|  57 |               11 | 6. Mission de supervision                                                                                                                                                                                                                                                                                            | NULL | ET.2.4.06  |           3 |             2 |
|  58 |               11 | Programme de retour volontaire                                                                                                                                                                                                                                                                                       | NULL | ET.2.4.07  |           3 |             2 |
|  59 |               12 | identification, catégorisation des communautés en conflit en vue de la mise en oeuvre de l'observatoire des conflits en province                                                                                                                                                                                     | NULL | ET.3.1.01  |           4 |             2 |
|  60 |               12 | Repertoire des communautés victimes (directes et indirectes), non victimes et des communautés bourreaux                                                                                                                                                                                                              | NULL | ET.3.1.02  |           4 |             2 |
|  61 |               13 | 1. Formation  des enqueteurs aux  chefs lieux des provinces sur la conduite des conultations                                                                                                                                                                                                                         | NULL | ET.3.2.01  |           4 |             2 |
|  62 |               13 | 2. Deploiement des enqueteurs sur terrain                                                                                                                                                                                                                                                                            | NULL | ET.3.2.02  |           4 |             2 |
|  63 |               13 | 3.Certification par la communauté à travers les focus group                                                                                                                                                                                                                                                          | NULL | ET.3.2.03  |           4 |             2 |
|  64 |               13 | 4. Mission de supervision par les agents du FONAREV                                                                                                                                                                                                                                                                  | NULL | ET.3.2.04  |           4 |             2 |
|  65 |               13 | 5. Rédaction du cahier de charge des communauté                                                                                                                                                                                                                                                                      | NULL | ET.3.2.05  |           4 |             2 |
|  66 |               14 | Organisation des ateliers de partage et échange sur les conflits actuells, passés ou latents et pistes des solutions                                                                                                                                                                                                 | NULL | ET.3.3.01  |           4 |             2 |
|  67 |               15 | Sensibilisation des victimes en vue de se constituer en association                                                                                                                                                                                                                                                  | NULL | ET.4.1.01  |           5 |             2 |
|  68 |               16 | Supervision de la formation mise en œuvre par le partenaire                                                                                                                                                                                                                                                          | NULL | ET.4.2.01  |           5 |             2 |
|  69 |               17 | Coaching sur la mise en œuvre de projet par le partenaire                                                                                                                                                                                                                                                            | NULL | ET.4.3.01  |           5 |             2 |
|  70 |               18 | 1. Mission exploratoire                                                                                                                                                                                                                                                                                              | NULL | ET.4.4.01  |           5 |             2 |
|  71 |               18 | 2. Etude de faisabilité                                                                                                                                                                                                                                                                                              | NULL | ET.4.4.02  |           5 |             2 |
|  72 |               18 | 3. Recrutement du partenaire                                                                                                                                                                                                                                                                                         | NULL | ET.4.4.03  |           5 |             2 |
|  73 |               19 | Mise en place du circuit de distribution                                                                                                                                                                                                                                                                             | NULL | ET.4.5.01  |           5 |             2 |
|  74 |               19 | Recrutement d'un incubateur pour la transformation                                                                                                                                                                                                                                                                   | NULL | ET.4.5.02  |           5 |             2 |
|  75 |               19 | Rencontre avec les operateurs économiques                                                                                                                                                                                                                                                                            | NULL | ET.4.5.03  |           5 |             2 |
|  76 |               20 | 1. Mission de suivi-evaluation                                                                                                                                                                                                                                                                                       | NULL | ET.5.1.01  |           6 |             2 |
|  77 |               20 | 2. Recrutement des experts pour la modelisation du processus d'identification du FONAREV par type des conflits                                                                                                                                                                                                       | NULL | ET.5.1.02  |           6 |             2 |
|  78 |               21 | Suivi du programme d'appui à l'écosystème                                                                                                                                                                                                                                                                            | NULL | ET.5.2.01  |           6 |             2 |
|  79 |               22 | Technique de documentation multi-niveau à kinshasa avec ENA et U.N (PNUD, BCNUDH)                                                                                                                                                                                                                                    | NULL | ET.6.1.01  |           7 |             9 |
|  80 |               22 | Renforcement qualité sur les normes ISO-9001 sur la collecte, traitement, certification, sécurisation et la gestion des données de l'identification par le bureau Census Data avec Troika Voice à Amsterdam (Hollande)                                                                                               | NULL | ET.6.1.02  |           7 |             9 |
|  81 |               22 | Principes standards d'organisation, de mise en œuvre et suivi des activités avec les associations des victimes avec l'université de Fribourg en Suisse                                                                                                                                                               | NULL | ET.6.1.03  |           7 |             9 |
|  82 |               22 | Technique de recherche d'authentification et de collecte de l'analyse de l'intention génocidaire avec Lexis-nexis en France                                                                                                                                                                                          | NULL | ET.6.1.04  |           7 |             9 |
|  83 |               23 | Formalisation et opérationnalisation des associations des victimes                                                                                                                                                                                                                                                   | NULL | EO.1.1.01  |           8 |             3 |
|  84 |               24 | Formation technique et financiere                                                                                                                                                                                                                                                                                    | NULL | EO.1.2.01  |           8 |             3 |
|  85 |               25 | Subvention des associqtions des victimes / Appel à Projet                                                                                                                                                                                                                                                            | NULL | EO.1.3.01  |           8 |             3 |
|  86 |               25 | Subvention des associqtions des victimes / Subvention                                                                                                                                                                                                                                                                | NULL | EO.1.3.02  |           8 |             3 |
|  87 |               25 | Subvention des associqtions des victimes / Encadrement des associations d'aide aux victimes par une association d'aide aux victimes (incubateur territorial)                                                                                                                                                         | NULL | EO.1.3.03  |           8 |             3 |
|  88 |               26 | Construction d'infrastructures (HUB) / Acquisition des terrains                                                                                                                                                                                                                                                      | NULL | EO.1.4.01  |           8 |             3 |
|  89 |               26 | Construction d'infrastructures (HUB) / Recrutement du partenaire et finalisation du projet archtectural                                                                                                                                                                                                              | NULL | EO.1.4.02  |           8 |             3 |
|  90 |               26 | Construction d'infrastructures (HUB) / Etude de faisabilite (15%)                                                                                                                                                                                                                                                    | NULL | EO.1.4.03  |           8 |             3 |
|  91 |               26 | Construction d'infrastructures (HUB) / Equipement en machine de transformation et de conservation                                                                                                                                                                                                                    | NULL | EO.1.4.04  |           8 |             3 |
|  92 |               26 | Construction d'infrastructures (HUB) / Fonctionnement incubateur de transformation                                                                                                                                                                                                                                   | NULL | EO.1.4.05  |           8 |             3 |
|  93 |               27 | Recrutement d'un incubateur pour la transformation                                                                                                                                                                                                                                                                   | NULL | EO.1.5.01  |           8 |             3 |
|  94 |               27 | Rencontre avec les operateurs économiques                                                                                                                                                                                                                                                                            | NULL | EO.1.5.02  |           8 |             3 |
|  95 |               27 | Mise en place du circuit de distribution                                                                                                                                                                                                                                                                             | NULL | EO.1.5.03  |           8 |             3 |
|  96 |               27 | Circuit de normalisation                                                                                                                                                                                                                                                                                             | NULL | EO.1.5.04  |           8 |             3 |
|  97 |               27 | Constitution de l'epargne collective (CEC)                                                                                                                                                                                                                                                                           | NULL | EO.1.5.05  |           8 |             3 |
|  98 |               28 | Organisation des formations des magistrats et auxiliaires de justice (avocats, greffiers, huissiers, notaires, experts judiciaires, interprètes, etc.)                                                                                                                                                               | NULL | AJ.1.1.01  |           9 |             4 |
|  99 |               29 | Organisation des formations des Officiers de Police Judiciaire (OPJ)                                                                                                                                                                                                                                                 | NULL | AJ.1.2.01  |           9 |             4 |
| 100 |               30 | Formation des agents d’appui                                                                                                                                                                                                                                                                                         | NULL | AJ.1.3.01  |           9 |             4 |
| 101 |               31 | Entretien, enregistrement et collecte des éléments de preuve des victimes                                                                                                                                                                                                                                            | NULL | AJ.2.1.01  |          10 |             4 |
| 102 |               31 | Relecture et analyse des dossiers                                                                                                                                                                                                                                                                                    | NULL | AJ.2.1.02  |          10 |             4 |
| 103 |               32 | Appui technique et logistique aux OPJ et magistrats                                                                                                                                                                                                                                                                  | NULL | AJ.2.2.01  |          10 |             4 |
| 104 |               33 | Tenue des  audiences – Fonarev                                                                                                                                                                                                                                                                                       | NULL | AJ.2.3.01  |          10 |             4 |
| 105 |               34 | Tenue des  audiences – Juridictions                                                                                                                                                                                                                                                                                  | NULL | AJ.2.4.01  |          10 |             4 |
| 106 |               34 | Tenue des 5 audiences – Flagrance                                                                                                                                                                                                                                                                                    | NULL | AJ.2.4.02  |          10 |             4 |
| 107 |               35 | Relance des dossiers en phase pré-juridictionnelle                                                                                                                                                                                                                                                                   | NULL | AJ.2.5.01  |          10 |             4 |
| 108 |               35 | Relance des dossiers en phase juridictionnelle                                                                                                                                                                                                                                                                       | NULL | AJ.2.5.02  |          10 |             4 |
| 109 |               36 | Séance de travail avec les victimes, les parents et tuteurs des victimes                                                                                                                                                                                                                                             | NULL | AJ.3.1.01  |          11 |             4 |
| 110 |               37 | Séance de travail greffe, etat civil et autres                                                                                                                                                                                                                                                                       | NULL | AJ.3.2.01  |          11 |             4 |
| 111 |               36 | Séance de travail avec le greffe                                                                                                                                                                                                                                                                                     | NULL | AJ.3.3.01  |          11 |             4 |
| 112 |               38 | Appui à l’homologation de la LUC                                                                                                                                                                                                                                                                                     | NULL | AJ.4.1.01  |          12 |             4 |
| 113 |               38 | Collecte des décisions de justice                                                                                                                                                                                                                                                                                    | NULL | AJ.4.1.02  |          12 |             4 |
| 114 |               38 | Obtention des jugements supplétifs de confirmation (noms, tutelles, liquidateurs) pour les victimes détentrices de décisions de justice                                                                                                                                                                              | NULL | AJ.4.1.03  |          12 |             4 |
