Annee,,,,,,,,,,,,,,,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,,,2 027,2 028,2 029,2 030,,,,
Mois,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,
Trimestre,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,4,4,4,,,,,,,,,,
Semestre,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pourcentage variation Plan N+2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,,Cout Unitaire en USD Hors Taxe / Automatique,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe / Manuel,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,Check Categorie,Check Unite de mesure,Check cout unitaire,ROW
,,x,x2,Ligne de depense,Direction,,,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,45 688,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,46 326,46 356,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,,,,
FI.1.1.01,FI.1.1.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Session budgétaires _ Preparation budgétaires,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61350003_ Location salle,61350003,DIRECTION FINANCIÈRE,Location Salle,,,0,Unite,1 600,,,,,,,,,,6,,,6,9 600,9 696,9 792,9 888,9 984, Ok , Ok , Ok ,  15 
FI.1.1.01,FI.1.1.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Session budgétaires _ Preparation budgétaires,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,Directeur,64710015_ Per diem,64710015,DIRECTION FINANCIÈRE,"Perdiem des directeurs (CU : 400, Nbre Jr : 6)",,,0,Jour de mission,2 400,,,,,,,,,,10,,,10,24 000,24 240,24 480,24 720,24 960, Ok , Ok , Ok ,  16 
FI.1.1.01,FI.1.1.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Session budgétaires _ Preparation budgétaires,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,Autres,64710015_ Per diem,64710015,DIRECTION FINANCIÈRE,"Perdiem CG (CU: 200,  Jourr: 6)",,,0,Personne,1 200,,,,,,,,,,2,,,2,2 400,2 424,2 448,2 472,2 496, Ok , Ok , Ok ,  17 
FI.1.1.01,FI.1.1.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Session budgétaires _ Preparation budgétaires,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62630027_ Frais de restauration,62630027,DIRECTION FINANCIÈRE,Restauration pour 6 jours à $80 par jour,,,0,Personne,480,,,,,,,,,,20,,,20,9 600,9 696,9 792,9 888,9 984, Ok , Ok , Ok ,  18 
FI.1.1.01,FI.1.1.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Session budgétaires _ Preparation budgétaires,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62510002_ Hébergement / Hôtel,62510002,DIRECTION FINANCIÈRE,Logement pour 6 jours à 300 par jour,,,0,Personne,1 800,,,,,,,,,,15,,,15,27 000,27 270,27 540,27 810,28 080, Ok , Ok , Ok ,  19 
FI.1.1.01,FI.1.1.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Session budgétaires _ Preparation budgétaires,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710014_ Primes session budgétaire,64710014,DIRECTION FINANCIÈRE,PRIME,,,0,Personne,4 000,,,,,,,,,,20,,,20,80 000,80 800,81 600,82 400,83 200, Ok , Ok , Ok ,  20 
FI.1.2.01,FI.1.2.01 _ DIRECTION FINANCIÈRE _ Suivi budgétaire _ Outils _ Acquisition d'outil de suivi budgétaire,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61810003_ Autres Achats ,61810003,DIRECTION FINANCIÈRE,Acquisition d'outil de suivi budgétaire,,,0,USD,25 000,25 000,,25 000,,,,,,,,,,50 000,50 000,50 500,51 000,51 500,52 000, Ok , Ok , Ok ,  21 
FI.2.1.01,FI.2.1.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Cloture des comptes _ Préparation et validation des états financiers,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710010_ Primes bilan,64710010,DIRECTION FINANCIÈRE,Primes bilan,,,0,Unite,60 000,,,,1,,,,,,,,,1,60 000,60 600,61 200,61 800,62 400, Ok , Ok , Ok ,  22 
,,,,,,,,,,,,0,Unite,0,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  23 
,,,,,,,,,,,,0,Unite,0,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  24 
FI.2.1.01,FI.2.1.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Cloture des comptes _ Préparation et validation des états financiers,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710011_ Primes caisse,64710011,DIRECTION FINANCIÈRE,Primes caisse,,,0,Unite,500,1,1,1,1,1,1,1,1,1,1,1,1,12,6 000,6 060,6 120,6 180,6 240, Ok , Ok , Ok ,  25 
FI.2.1.01,FI.2.1.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Cloture des comptes _ Préparation et validation des états financiers,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710011_ Primes caisse,64710011,DIRECTION FINANCIÈRE,Primes caisse,,,0,Unite,300,7,7,7,7,7,7,7,7,7,7,7,7,84,25 200,25 452,25 704,25 956,26 208, Ok , Ok , Ok ,  26 
FI.2.2.01,FI.2.2.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Inventaires des immobilisations _ Inventaires des immobilisations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62510003_ Billet d'avion_Afrique,62510003,DIRECTION FINANCIÈRE,,,,0,Unite,600,7,,,,,,,,,,,,7,4 200,4 242,4 284,4 326,4 368, Ok , Ok , Ok ,  27 
FI.2.2.01,FI.2.2.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Inventaires des immobilisations _ Inventaires des immobilisations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710015_ Per diem,64710015,DIRECTION FINANCIÈRE,Per diem CAC pour 6 jours à 600/Jr,,,0,Personne,3 900,2,,,,,,,,,,,,2,7 800,7 878,7 956,8 034,8 112, Ok , Ok , Ok ,  28 
FI.2.2.01,FI.2.2.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Inventaires des immobilisations _ Inventaires des immobilisations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710015_ Per diem,64710015,DIRECTION FINANCIÈRE,Per diem Agent Fonarev 6 jours à 450,,,0,Personne,2 700,4,,,,,,,,,,,,4,10 800,10 908,11 016,11 124,11 232, Ok , Ok , Ok ,  29 
FI.2.2.01,FI.2.2.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Inventaires des immobilisations _ Inventaires des immobilisations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61350004_ Location véhicule,61350004,DIRECTION FINANCIÈRE,Véhicule pour CAC pour 6 jour à 250,,,0,Unite,1 500,2,,,,,,,,,,,,2,3 000,3 030,3 060,3 090,3 120, Ok , Ok , Ok ,  30 
FI.2.2.01,FI.2.2.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Inventaires des immobilisations _ Inventaires des immobilisations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61350004_ Location véhicule,61350004,DIRECTION FINANCIÈRE,Véhicule pour agent Fonarev pour 6 jour à 150,,,0,Unite,900,2,,,,,,,,,,,,2,1 800,1 818,1 836,1 854,1 872, Ok , Ok , Ok ,  31 
FI.2.2.01,FI.2.2.01 _ DIRECTION FINANCIÈRE _ Reporting financier _ Inventaires des immobilisations _ Inventaires des immobilisations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62510008_ GO Pass,62510008,DIRECTION FINANCIÈRE,,,,0,Unite,30,6,,,,,,,,,,,,6,180,182,184,185,187, Ok , Ok , Ok ,  32 
FI.3.1.01,FI.3.1.01 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Fonctionnement courant,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,66120001_ Frais bancaires,66120001,DIRECTION FINANCIÈRE,FRAIS BANCAIRES,,,0,Unite,60 000,1,1,1,1,1,1,1,1,1,1,1,1,12,720 000,727 200,734 400,741 600,748 800, Ok , Ok , Ok ,  33 
FI.3.1.01,FI.3.1.01 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Fonctionnement courant,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,64710008_ Prime travaux intensif,64710008,DIRECTION FINANCIÈRE,TRAVAUX INTENSIF,,,0,Unite,45 000,1,1,1,1,1,1,1,1,1,1,1,1,12,540 000,545 400,550 800,556 200,561 600, Ok , Ok , Ok ,  34 
FI.3.1.01,FI.3.1.01 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Fonctionnement courant,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,68110001_ Provision de séparation à l'amiable et autres risques,68110001,DIRECTION FINANCIÈRE,Separation à l'amiable,,,0,Unite,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0,0,0,0,0, Ok , Ok , No Ok ,  35 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,autres nouvelle garanties,,,0,Unite,5 000,,,1,,,1,,,1,,1,,4,20 000,20 200,20 400,20 600,20 800, Ok , Ok , Ok ,  36 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,Loyer Kinshasa,,,0,Unite,90 000,1,1,1,1,1,1,1,1,1,1,1,1,12,1 080 000,1 090 800,1 101 600,1 112 400,1 123 200, Ok , Ok , Ok ,  37 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,,,,0,Unite,5 000,1,1,1,1,1,1,1,1,1,1,1,1,12,60 000,60 600,61 200,61 800,62 400, Ok , Ok , Ok ,  38 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,,,,0,Unite,3 000,1,1,1,1,1,1,1,1,1,1,1,1,12,36 000,36 360,36 720,37 080,37 440, Ok , Ok , Ok ,  39 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,,,,0,Unite,5 000,1,1,1,1,1,1,1,1,1,1,1,1,12,60 000,60 600,61 200,61 800,62 400, Ok , Ok , Ok ,  40 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,,,,0,Unite,4 000,1,1,1,1,1,1,1,1,1,1,1,1,12,48 000,48 480,48 960,49 440,49 920, Ok , Ok , Ok ,  41 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,,,,0,Unite,3 000,1,1,1,1,1,1,1,1,1,1,1,1,12,36 000,36 360,36 720,37 080,37 440, Ok , Ok , Ok ,  42 
FI.3.1.02,FI.3.1.02 _ DIRECTION FINANCIÈRE _ Fonctionnement courant _ Fonctionnement courant _ Location de bureau et Autres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,61310003_ Loyers,61310003,DIRECTION FINANCIÈRE,,,,0,Unite,3 000,1,1,1,1,1,1,1,1,1,1,1,1,12,36 000,36 360,36 720,37 080,37 440, Ok , Ok , Ok ,  43 
