Annee,,,,,,,,,,,,,,,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,,,2 027,2 028,2 029,2 030,,,,
Mois,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,
Trimestre,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,4,4,4,,,,,,,,,,
Semestre,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pourcentage variation Plan N+2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,,Cout Unitaire en USD Hors Taxe / Automatique,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe / Manuel,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,Check Categorie,Check Unite de mesure,Check cout unitaire,ROW
,,x,x2,Ligne de depense,Direction,,,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,45 688,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,46 326,46 356,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,,,,
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,1,,,,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  15 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Chef de bureau,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,1,,,,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  16 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,,,,1,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  17 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Chef de bureau,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,,,,1,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  18 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,1,,,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  19 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Chef de bureau,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,1,,,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  20 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,,1,,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  21 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Chef de bureau,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,,1,,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  22 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,,,1,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  23 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Chef de bureau,62510003_ Billet d'avion_Afrique,62510003,ETUDES,Billet A/R,,,0,Unite,700,,,,,,1,,,,,,,1,700,707,714,721,728, Ok , Ok , Ok ,  24 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Chef de Division,62510008_ GO Pass,62510008,ETUDES,GO PASS A/R ( CD et CB),,,0,Unite,60,,,1,,,,,,,,,,1,60,61,61,62,62, Ok , Ok , Ok ,  25 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Chef de Division,62510008_ GO Pass,62510008,ETUDES,GO PASS A/R ( CD et CB),,,0,Unite,60,,,,,,,1,,,,,,1,60,61,61,62,62, Ok , Ok , Ok ,  26 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Chef de Division,62510008_ GO Pass,62510008,ETUDES,GO PASS A/R ( CD et CB),,,0,Unite,60,,,,1,,,,,,,,,1,60,61,61,62,62, Ok , Ok , Ok ,  27 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Chef de Division,62510008_ GO Pass,62510008,ETUDES,GO PASS A/R ( CD et CB),,,0,Unite,60,,,,,1,,,,,,,,1,60,61,61,62,62, Ok , Ok , Ok ,  28 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Chef de Division,62510008_ GO Pass,62510008,ETUDES,GO PASS A/R ( CD et CB),,,0,Unite,60,,,,,,1,,,,,,,1,60,61,61,62,62, Ok , Ok , Ok ,  29 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Chef de Division,61350004_ Location véhicule,61350004,ETUDES,1 Véhicule pour formateurs,,,0,Unite,800,,,1,,,,,,,,,,1,800,808,816,824,832, Ok , Ok , Ok ,  30 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Chef de Division,61350004_ Location véhicule,61350004,ETUDES,1 Véhicule pour formateurs,,,0,Unite,800,,,,,,,1,,,,,,1,800,808,816,824,832, Ok , Ok , Ok ,  31 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Chef de Division,61350004_ Location véhicule,61350004,ETUDES,1 Véhicule pour formateurs,,,0,Unite,800,,,,1,,,,,,,,,1,800,808,816,824,832, Ok , Ok , Ok ,  32 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Chef de Division,61350004_ Location véhicule,61350004,ETUDES,1 Véhicule pour formateurs,,,0,Unite,800,,,,,1,,,,,,,,1,800,808,816,824,832, Ok , Ok , Ok ,  33 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Chef de Division,61350004_ Location véhicule,61350004,ETUDES,1 Véhicule pour formateurs,,,0,Unite,800,,,,,,1,,,,,,,1,800,808,816,824,832, Ok , Ok , Ok ,  34 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Autres,61350003_ Location salle,61350003,ETUDES,Location salle formation,,,0,Unite,1 000,,,1,,,,,,,,,,1,1 000,1 010,1 020,1 030,1 040, Ok , Ok , Ok ,  35 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Autres,61350003_ Location salle,61350003,ETUDES,Location salle formation,,,0,Unite,1 000,,,,,,,1,,,,,,1,1 000,1 010,1 020,1 030,1 040, Ok , Ok , Ok ,  36 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Autres,61350003_ Location salle,61350003,ETUDES,Location salle formation,,,0,Unite,1 000,,,,1,,,,,,,,,1,1 000,1 010,1 020,1 030,1 040, Ok , Ok , Ok ,  37 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Autres,61350003_ Location salle,61350003,ETUDES,Location salle formation,,,0,Unite,1 000,,,,,1,,,,,,,,1,1 000,1 010,1 020,1 030,1 040, Ok , Ok , Ok ,  38 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Autres,61350003_ Location salle,61350003,ETUDES,Location salle formation,,,0,Unite,1 000,,,,,,1,,,,,,,1,1 000,1 010,1 020,1 030,1 040, Ok , Ok , Ok ,  39 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Autres,61810005_ Matériels didactiques,61810005,ETUDES,Matériels didactiques formation,,,0,Unite,108,,,1,,,,,,,,,,1,108,109,110,111,112, Ok , Ok , Ok ,  40 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Autres,61810005_ Matériels didactiques,61810005,ETUDES,Matériels didactiques formation,,,0,Unite,108,,,,,,,1,,,,,,1,108,109,110,111,112, Ok , Ok , Ok ,  41 
